Depart;Arrivee;Distance;Tensions;Gabarit;Commentaire;Exploitee
Nantes;Clisson;26 km;Non-electrifie;Gabarit continental;;
Clisson;La Roche sur Yon;50 km;Non-electrifie;Gabarit continental;;
Nantes;La Roche sur Yon;76 km;Non-electrifie;Gabarit continental;;
Paris Nord;Creil;50 km;25kVac;Gabarit continental;;
Le Mans;Laval;89 km;25kVac;Gabarit continental;;
Nantes;St Nazaire;66 km;Non-electrifie;Gabarit continental;;
Laval;Vitré;36 km;25kVac;Gabarit continental;;
Vitré;Rennes;73 km;25kVac;Gabarit continental;;
Le Mans;Rennes;145 km;25kVac;Gabarit continental;;
Tours;Angers St-Laud;111 km;1.5kVcc & 25kVac;Gabarit continental;;
St Pierre des Corps;Angers St-Laud;109 km;1.5kVcc & 25kVac;Gabarit continental;;
Nantes;Redon;81 km;Non-electrifie;Gabarit continental;;
Rennes;Redon;71 km;Non-electrifie;Gabarit continental;;
Nantes;Rennes;152 km;Non-electrifie;Gabarit continental;;
Strasbourg-Ville;Mulhouse;108 km;25kVac;Gabarit continental;;
Bâle-CFF/SNCF;Mulhouse;34 km;25kVac;Gabarit continental;;
Montpellier St Roch;Nîmes;50 km;1.5kVcc;Gabarit continental;;
Paris Austerlitz;Paris Orsay;4 km;1.5kVcc;Gabarit continental;;
Marseille St Charles;Nîmes;155 km;1.5kVcc;Gabarit continental;;
Paris St-Lazare;Puteaux;10 km;25kVac;Gabarit continental;;
La Roche sur Yon;Luçon;37 km;Non-electrifie;Gabarit continental;;
Luçon;La Rochelle-Ville;66 km;Non-electrifie;Gabarit continental;;
La Roche sur Yon;La Rochelle-Ville;103 km;Non-electrifie;Gabarit continental;;
La Rochelle-Ville;Rochefort;29 km;Non-electrifie;Gabarit continental;;
Rochefort;Saintes;44 km;Non-electrifie;Gabarit continental;;
La Rochelle-Ville;Saintes;73 km;Non-electrifie;Gabarit continental;;
Saintes;Jonzac;43 km;Non-electrifie;Gabarit continental;;
Bordeaux St-Jean;Jonzac;68 km;Non-electrifie;Gabarit continental;;
Bordeaux St-Jean;Saintes;111 km;Non-electrifie;Gabarit continental;;
Paris Montparnasse;Viroflay Rive-Gauche;14 km;1.5kVcc;Gabarit continental;;
Versailles-Chantiers;Viroflay Rive-Gauche;3 km;1.5kVcc;Gabarit continental;;
Viroflay Rive-Gauche;Issy Plaine/Val-de-Seine;9 km;1.5kVcc;Gabarit continental;;
Issy Plaine/Val-de-Seine;Invalides;6 km;1.5kVcc;Gabarit continental;;
Puteaux;Issy Plaine/Val-de-Seine;10 km;750Vcc 3eme rail;Gabarit continental;;
Dunkerque;Dover;79 km;Train-ferry;Train-ferry;Par Train-Ferry;
Rouen Rive Droite;Le Havre;88 km;25kVac;Gabarit continental;;
Paris St-Lazare;Le Havre;228 km;25kVac;Gabarit continental;;
Paris Orsay;Invalides;1 km;1.5kVcc;Gabarit continental;;
Paris Gare de Lyon;Nevers;234 km;Non-electrifie;Gabarit continental;;
Nevers;Clermont-Ferrand;166 km;Non-electrifie;Gabarit continental;;
Paris Gare de Lyon;Clermont-Ferrand;400 km;Non-electrifie;Gabarit continental;;
Avignon-Centre;Nîmes;49 km;1.5kVcc;Gabarit continental;;
Paris Est;Château-Thierry;94 km;25kVac;Gabarit continental;;
Château-Thierry;Épernay;47 km;25kVac;Gabarit continental;;
Épernay;Châlons-en-Champagne;31 km;25kVac;Gabarit continental;;
Paris Est;Châlons-en-Champagne;172 km;25kVac;Gabarit continental;;
Châlons-en-Champagne;Bar-le-Duc;81 km;25kVac;Gabarit continental;;
Paris Est;Bar-le-Duc;253 km;25kVac;Gabarit continental;;
Bar-le-Duc;Metz-Ville;101 km;25kVac;Gabarit continental;;
Paris Est;Metz-Ville;354 km;25kVac;Gabarit continental;;
Metz-Ville;Thionville;29 km;25kVac;Gabarit continental;;
Thionville;Luxembourg;32 km;25kVac;Gabarit continental;;
Metz-Ville;Luxembourg;61 km;25kVac;Gabarit continental;;
London Victoria;Gatwick Airport;43 km;750Vcc 3eme rail;Gabarit britannique;;
Strasbourg-Ville;Karlsruhe Hbf;84 km;15kVac & 25kVac;Gabarit continental;;
Karlsruhe Hbf;Mannheim Hbf;62 km;15kVac;Gabarit continental;;
Mannheim Hbf;Saarbrücken Hbf;130 km;15kVac;Gabarit continental;;
Saarbrücken Hbf;Forbach;10 km;15kVac & 25kVac;Gabarit continental;;
Metz-Ville;Forbach;85 km;25kVac;Gabarit continental;;
Thionville;Sarreguemines;92 km;Non-electrifie;Gabarit continental;;
Paris Est;Troyes;166 km;Non-electrifie;Gabarit continental;;
Troyes;Chaumont;95 km;Non-electrifie;Gabarit continental;;
Paris Est;Chaumont;261 km;Non-electrifie;Gabarit continental;;
Chaumont;Culmont-Chalindrey;46 km;Non-electrifie;Gabarit continental;;
Troyes;Culmont-Chalindrey;142 km;Non-electrifie;Gabarit continental;;
Paris Est;Culmont-Chalindrey;307 km;Non-electrifie;Gabarit continental;;
Culmont-Chalindrey;Vesoul;73 km;Non-electrifie;Gabarit continental;;
Vesoul;Belfort;62 km;Non-electrifie;Gabarit continental;;
Paris Est;Belfort;442 km;Non-electrifie;Gabarit continental;;
Mulhouse;Belfort;48 km;25kVac;Gabarit continental;;
Paris Est;Mulhouse;490 km;Non-electrifie;Gabarit continental;;
Marseille St Charles;Toulon;67 km;1.5kVcc & 25kVac;Gabarit continental;;
Laroche-Migennes;Dijon-Ville;159 km;1.5kVcc;Gabarit continental;;
Paris Gare de Lyon;Dijon-Ville;314 km;1.5kVcc;Gabarit continental;;
Lyon Perrache;Dijon-Ville;197 km;1.5kVcc;Gabarit continental;;
Dijon-Ville;Dole-Ville;46 km;1.5kVcc;Gabarit continental;;
Dole-Ville;Besançon-Viotte;45 km;25kVac;Gabarit continental;;
Dijon-Ville;Besançon-Viotte;92 km;1.5kVcc & 25kVac;Gabarit continental;;
Dole-Ville;Frasne;77 km;25kVac;Gabarit continental;;
Frasne;Vallorbe;24 km;25kVac;Gabarit continental;;
Dole-Ville;Vallorbe;101 km;25kVac;Gabarit continental;;
Vallorbe;Lausanne;51 km;15kVac;Gabarit continental;;
Dijon-Ville;Vallorbe;147 km;1.5kVcc & 25kVac;Gabarit continental;;
Lyon Perrache;St-Étienne-Châteaucreux;73 km;1.5kVcc;Gabarit continental;;
Clermont-Ferrand;St-Étienne-Châteaucreux;144 km;Non-electrifie;Gabarit continental;;
St-Étienne-Châteaucreux;Roanne;82 km;Non-electrifie;Gabarit continental;;
Kehl;Offenburg;21 km;15kVac;Gabarit continental;;
Strasbourg-Ville;Offenburg;29 km;15kVac & 25kVac;Gabarit continental;;
Lyon Perrache;Lyon Part-Dieu;5 km;1.5kVcc;Gabarit continental;;
Lyon Perrache;Lyon Brotteaux;5 km;1.5kVcc;Gabarit continental;;
Ambérieu;Lyon Part-Dieu;46 km;1.5kVcc;Gabarit continental;;
Ambérieu;Lyon Brotteaux;46 km;1.5kVcc;Gabarit continental;;
Genève-Cornavin;Lyon Part-Dieu;163 km;1.5kVcc;Gabarit continental;;
Genève-Cornavin;Lyon Brotteaux;163 km;1.5kVcc;Gabarit continental;;
Dijon-Ville;Lyon Part-Dieu;193 km;1.5kVcc;Gabarit continental;;
Paris Gare de Lyon;Lyon Part-Dieu;507 km;1.5kVcc;Gabarit continental;;
Chambéry-Challes les Eaux;Lyon Part-Dieu;113 km;1.5kVcc;Gabarit continental;;
Chambéry-Challes les Eaux;Lyon Brotteaux;113 km;1.5kVcc;Gabarit continental;;
Valence-Ville;Lyon Part-Dieu;109 km;1.5kVcc;Gabarit continental;;
Avignon-Centre;Lyon Part-Dieu;234 km;1.5kVcc;Gabarit continental;;
Marseille St Charles;Lyon Part-Dieu;352 km;1.5kVcc;Gabarit continental;;
Rennes;St Brieuc;101 km;Non-electrifie;Gabarit continental;;
St Brieuc;Guingamp;30 km;Non-electrifie;Gabarit continental;;
Guingamp;Morlaix;58 km;Non-electrifie;Gabarit continental;;
Morlaix;Brest;58 km;Non-electrifie;Gabarit continental;;
Rennes;Morlaix;190 km;Non-electrifie;Gabarit continental;;
Paris Montparnasse;Rennes;373 km;1.5kVcc & 25kVac;Gabarit continental;;
Paris Montparnasse;Brest;622 km;Non-electrifie;Gabarit continental;;
Morlaix;Roscoff;28 km;Non-electrifie;Gabarit continental;;
Paris Nord;Compiègne;84 km;25kVac;Gabarit continental;;
Toulon;Les Arcs - Draguignan;69 km;25kVac;Gabarit continental;;
Marseille St Charles;Les Arcs - Draguignan;136 km;1.5kVcc & 25kVac;Gabarit continental;;
Les Arcs - Draguignan;Cannes;57 km;25kVac;Gabarit continental;;
Cannes;Nice-Ville;31 km;25kVac;Gabarit continental;;
Marseille St Charles;Nice-Ville;224 km;1.5kVcc & 25kVac;Gabarit continental;;
Nice-Ville;Monaco Monte-Carlo;16 km;25kVac;Gabarit continental;;
Marseille St Charles;Monaco Monte-Carlo;240 km;1.5kVcc & 25kVac;Gabarit continental;;
Monaco Monte-Carlo;Menton;8 km;25kVac;Gabarit continental;;
Nice-Ville;Menton;24 km;25kVac;Gabarit continental;;
Marseille St Charles;Menton;248 km;1.5kVcc & 25kVac;Gabarit continental;;
Menton;Ventimiglia;11 km;1.5kVcc & 25kVac;Gabarit continental;;
Nice-Ville;Ventimiglia;35 km;1.5kVcc & 25kVac;Gabarit continental;;
Marseille St Charles;Ventimiglia;259 km;1.5kVcc & 25kVac;Gabarit continental;;
Belfort;Besançon-Viotte;98 km;25kVac;Gabarit continental;;
Nantes;Savenay;39 km;Non-electrifie;Gabarit continental;;
Nantes;Le Croisic;89 km;Non-electrifie;Gabarit continental;;
St Nazaire;Savenay;25 km;Non-electrifie;Gabarit continental;;
St Nazaire;Le Croisic;26 km;Non-electrifie;Gabarit continental;;
Redon;Savenay;42 km;Non-electrifie;Gabarit continental;;
Paris Austerlitz;Pont de Rungis / Aéroport d\'Orly;16 km;1.5kVcc;Gabarit continental;;
Massy;Pont de Rungis / Aéroport d\'Orly;10 km;1.5kVcc;Gabarit continental;;
Bruxelles-Nord;Leuven;29 km;3kVcc;Gabarit continental;;
Leuven;Liège-Guillemins;66 km;3kVcc;Gabarit continental;;
Bruxelles-Nord;Liège-Guillemins;95 km;3kVcc;Gabarit continental;;
Bruxelles-Midi;Liège-Guillemins;99 km;3kVcc;Gabarit continental;;
Creil;Compiègne;33 km;25kVac;Gabarit continental;;
Amsterdam Centraal;Den Haag HS;63 km;1.5kVcc;Gabarit continental;;
Den Haag HS;Rotterdam Centraal;23 km;1.5kVcc;Gabarit continental;;
Amsterdam Centraal;Rotterdam Centraal;86 km;1.5kVcc;Gabarit continental;;
Montpellier St Roch;Sète;29 km;1.5kVcc;Gabarit continental;;
Sète;Béziers;40 km;1.5kVcc;Gabarit continental;;
Montpellier St Roch;Béziers;69 km;1.5kVcc;Gabarit continental;;
Béziers;Narbonne;29 km;1.5kVcc;Gabarit continental;;
Montpellier St Roch;Narbonne;97 km;1.5kVcc;Gabarit continental;;
Toulouse-Matabiau;Narbonne;150 km;1.5kVcc;Gabarit continental;;
Narbonne;Perpignan;64 km;1.5kVcc;Gabarit continental;;
Perpignan;Villefranche-Vernet les Bains;46 km;1.5kVcc;Gabarit continental;;
Toulouse-Matabiau;Latour de Carol-Enveitg;163 km;1.5kVcc;Gabarit continental;;
Villefranche-Vernet les Bains;Latour de Carol-Enveitg;63 km;850Vcc 3eme rail;Ecartement metrique;;
Paris Nord;Pontoise;29 km;25kVac;Gabarit continental;;
Paris St-Lazare;Mantes-la-Jolie;57 km;25kVac;Gabarit continental;via Poissy;
Paris St-Lazare;Caen;240 km;Non-electrifie;Gabarit continental;;
Caen;Cherbourg;130 km;Non-electrifie;Gabarit continental;;
Paris St-Lazare;Cherbourg;370 km;Non-electrifie;Gabarit continental;;
Bordeaux St-Jean;Le Verdon;109 km;1.5kVcc;Gabarit continental;;
Bordeaux St-Jean;Bordeaux St-Louis/Ravezies;17 km;1.5kVcc;Gabarit continental;;
Bordeaux St-Jean;Macau;27 km;1.5kVcc;Gabarit continental;;
Calais-Ville;Boulogne-Ville;41 km;Non-electrifie;Gabarit continental;;
Boulogne-Ville;Etaples-le-Touquet;27 km;Non-electrifie;Gabarit continental;;
Calais-Ville;Etaples-le-Touquet;68 km;Non-electrifie;Gabarit continental;;
Etaples-le-Touquet;Abbeville;51 km;Non-electrifie;Gabarit continental;;
Boulogne-Ville;Abbeville;78 km;Non-electrifie;Gabarit continental;;
Boulogne-Ville;Amiens;123 km;Non-electrifie;Gabarit continental;;
Abbeville;Amiens;45 km;Non-electrifie;Gabarit continental;;
Amiens;Le Touquet-Aéroport;94 km;Non-electrifie;Gabarit continental;;
Creil;Amiens;80 km;25kVac;Gabarit continental;;
Paris Nord;Amiens;131 km;25kVac;Gabarit continental;;
Paris Gare de Lyon;Châtelet - Les Halles;3 km;1.5kVcc;Gabarit continental;;
Paris Nord;Châtelet - Les Halles;5 km;1.5kVcc;Gabarit continental;;
Karlsruhe Hbf;Stuttgart Hbf;91 km;15kVac;Gabarit continental;;
Stuttgart Hbf;Heidelberg Hbf;113 km;15kVac;Gabarit continental;;
Mannheim Hbf;Stuttgart Hbf;130 km;15kVac;Gabarit continental;;
Mannheim Hbf;Heidelberg Hbf;17 km;15kVac;Gabarit continental;;
Genève-Cornavin;Coppet;13 km;15kVac;Gabarit continental;;
Coppet;Nyon;9 km;15kVac;Gabarit continental;;
Nyon;Morges;26 km;15kVac;Gabarit continental;;
Lausanne;Morges;13 km;15kVac;Gabarit continental;;
Genève-Cornavin;Nyon;22 km;15kVac;Gabarit continental;;
Genève-Cornavin;Morges;48 km;15kVac;Gabarit continental;;
Genève-Cornavin;Lausanne;60 km;15kVac;Gabarit continental;;
Massy;Paris Luxembourg;15 km;1.5kVcc;Gabarit continental;;
Paris Luxembourg;Robinson;12 km;1.5kVcc;Gabarit continental;;
Châtelet - Les Halles;Paris Luxembourg;2 km;1.5kVcc;Gabarit continental;;
Paris Orsay;St Michel - Notre-Dame;2 km;1.5kVcc;Gabarit continental;;
Paris Austerlitz;St Michel - Notre-Dame;2 km;1.5kVcc;Gabarit continental;;
Karlsruhe Hbf;Baden Baden;29 km;15kVac;Gabarit continental;;
Baden Baden;Achern;20 km;15kVac;Gabarit continental;;
Karlsruhe Hbf;Achern;49 km;15kVac;Gabarit continental;;
Offenburg;Baden Baden;40 km;15kVac;Gabarit continental;;
Karlsruhe Hbf;Offenburg;69 km;15kVac;Gabarit continental;;
Offenburg;Lahr;18 km;15kVac;Gabarit continental;;
Lahr;Freiburg am Breisgau Hbf;45 km;15kVac;Gabarit continental;;
Offenburg;Freiburg am Breisgau Hbf;63 km;15kVac;Gabarit continental;;
Baden Baden;Freiburg am Breisgau Hbf;103 km;15kVac;Gabarit continental;;
Karlsruhe Hbf;Freiburg am Breisgau Hbf;132 km;15kVac;Gabarit continental;;
Freiburg am Breisgau Hbf;Basel Bad Bf;61 km;15kVac;Gabarit continental;;
Bâle-CFF/SNCF;Basel Bad Bf;5 km;15kVac;Gabarit continental;;
Mulhouse;Müllheim;22 km;15kVac & 25kVac;Gabarit continental;;
Freiburg am Breisgau Hbf;Müllheim;29 km;15kVac;Gabarit continental;;
Mulhouse;Freiburg am Breisgau Hbf;51 km;15kVac & 25kVac;Gabarit continental;;
Basel Bad Bf;Müllheim;32 km;15kVac;Gabarit continental;;
London St Pancras;West Hampstead;9 km;25kVac;Gabarit britannique;;
West Hampstead;Harringay;7 km;Non-electrifie;Gabarit britannique;;
Harringay;London King\'s Cross;6 km;25kVac;Gabarit britannique;;
West Hampstead;Camden Road;5 km;750Vcc 3eme rail;Gabarit britannique;;
Camden Road;South Hampstead;3 km;750Vcc 3eme rail;Gabarit britannique;;
South Hampstead;London Euston;4 km;25kVac;Gabarit continental;;
Luxembourg;Kleinbettingen;18 km;3kVcc;Gabarit continental;;
Luxembourg;Arlon;29 km;3kVcc;Gabarit continental;;
Arlon;Libramont;46 km;3kVcc;Gabarit continental;;
Libramont;Ciney;61 km;3kVcc;Gabarit continental;;
Arlon;Ciney;107 km;3kVcc;Gabarit continental;;
Ciney;Namur;29 km;3kVcc;Gabarit continental;;
Arlon;Namur;137 km;3kVcc;Gabarit continental;;
Luxembourg;Namur;165 km;3kVcc;Gabarit continental;;
Namur;Bruxelles-Luxembourg;54 km;3kVcc;Gabarit continental;;
Luxembourg;Bruxelles-Luxembourg;190 km;3kVcc;Gabarit continental;;
Luxembourg;Bruxelles-Nord;196 km;3kVcc;Gabarit continental;;
Bruxelles-Nord;Namur;61 km;3kVcc;Gabarit continental;;
Bruxelles-Nord;Arlon;197 km;3kVcc;Gabarit continental;;
Bruxelles-Nord;Bruxelles-Luxembourg;6 km;3kVcc;Gabarit continental;;
Mulhouse;Lutterbach;6 km;25kVac;Gabarit continental;;
Lutterbach;Thann;14 km;Non-electrifie;Gabarit continental;;
Hove (BE);Antwerpen-Berchem;6 km;3kVcc;Gabarit continental;;
Kontich-Lint;Hove (BE);2 km;3kVcc;Gabarit continental;;
Wesserling;Kruth;5 km;Non-electrifie;Gabarit continental;;
Mulhouse;Thann;20 km;Non-electrifie;Gabarit continental;;
Duffel;Kontich-Lint;5 km;3kVcc;Gabarit continental;;
Mulhouse;Wesserling;33 km;Non-electrifie;Gabarit continental;;
Mulhouse;Kruth;38 km;Non-electrifie;Gabarit continental;;
Mechelen-Nekkerspoel;Duffel;7 km;3kVcc;Gabarit continental;;
Lutterbach;Wesserling;27 km;Non-electrifie;Gabarit continental;;
Lutterbach;Kruth;32 km;Non-electrifie;Gabarit continental;;
Thann;Wesserling;13 km;Non-electrifie;Gabarit continental;;
Thann;Kruth;18 km;Non-electrifie;Gabarit continental;;
Mechelen;Mechelen-Nekkerspoel;2 km;3kVcc;Gabarit continental;;
Bordeaux St-Jean;Libourne;37 km;1.5kVcc;Gabarit continental;;
Libourne;Coutras;16 km;1.5kVcc;Gabarit continental;;
Bordeaux St-Jean;Coutras;53 km;1.5kVcc;Gabarit continental;;
Coutras;Angoulême;82 km;1.5kVcc;Gabarit continental;;
Libourne;Angoulême;98 km;1.5kVcc;Gabarit continental;;
Bordeaux St-Jean;Angoulême;134 km;1.5kVcc;Gabarit continental;;
Angoulême;Poitiers;113 km;1.5kVcc;Gabarit continental;;
Bordeaux St-Jean;Poitiers;247 km;1.5kVcc;Gabarit continental;;
Poitiers;Châtellerault;33 km;1.5kVcc;Gabarit continental;;
Poitiers;Port-de-Piles;55 km;1.5kVcc;Gabarit continental;;
Châtellerault;Port-de-Piles;22 km;1.5kVcc;Gabarit continental;;
Tours;Port-de-Piles;45 km;1.5kVcc;Gabarit continental;;
St Pierre des Corps;Port-de-Piles;48 km;1.5kVcc;Gabarit continental;;
St Pierre des Corps;Châtellerault;70 km;1.5kVcc;Gabarit continental;;
Tours;Châtellerault;68 km;1.5kVcc;Gabarit continental;;
Tours;Poitiers;101 km;1.5kVcc;Gabarit continental;;
St Pierre des Corps;Poitiers;104 km;1.5kVcc;Gabarit continental;;
St Pierre des Corps;Blois-Chambord;53 km;1.5kVcc;Gabarit continental;;
Tours;Blois-Chambord;57 km;1.5kVcc;Gabarit continental;;
Les Aubrais - Orléans;Blois-Chambord;61 km;1.5kVcc;Gabarit continental;;
Blois-Chambord;Orléans;63 km;1.5kVcc;Gabarit continental;;
St Pierre des Corps;Orléans;116 km;1.5kVcc;Gabarit continental;;
Tours;Orléans;120 km;1.5kVcc;Gabarit continental;;
Les Aubrais - Orléans;Orléans;2 km;1.5kVcc;Gabarit continental;;
Paris Austerlitz;Orléans;121 km;1.5kVcc;Gabarit continental;;
Mannheim Hbf;Mannheim-Neckarstadt;3 km;15kVac;Gabarit continental;;
Mannheim Hbf;Mannheim-Waldhof;6 km;15kVac;Gabarit continental;Westliche Einführung der Riedbahn;
Mannheim-Neckarstadt;Mannheim-Waldhof;3 km;15kVac;Gabarit continental;;
Mannheim Hbf;Mannheim-Waldhof;10 km;15kVac;Gabarit continental;Riedbahn;
Mannheim-Waldhof;Biblis;19 km;15kVac;Gabarit continental;;
Mannheim-Neckarstadt;Biblis;22 km;15kVac;Gabarit continental;;
Mannheim Hbf;Biblis;25 km;15kVac;Gabarit continental;Westliche Einführung der Riedbahn;
Mannheim Hbf;Biblis;28 km;15kVac;Gabarit continental;Riedbahn;
Biblis;Riedstadt-Goddelau;18 km;15kVac;Gabarit continental;;
Riedstadt-Goddelau;Zeppelinheim;25 km;15kVac;Gabarit continental;;
Zeppelinheim;Frankfurt am Main Flughafen;4 km;15kVac;Gabarit continental;;
Riedstadt-Goddelau;Frankfurt am Main Flughafen;29 km;15kVac;Gabarit continental;;
Mannheim Hbf;Frankfurt am Main Flughafen;72 km;15kVac;Gabarit continental;Westliche Einführung der Riedbahn;
Mannheim Hbf;Frankfurt am Main Flughafen;75 km;15kVac;Gabarit continental;Riedbahn;
Zeppelinheim;Frankfurt am Main Hbf;13 km;15kVac;Gabarit continental;;
Frankfurt am Main Flughafen;Frankfurt am Main Hbf;10 km;15kVac;Gabarit continental;;
Riedstadt-Goddelau;Frankfurt am Main Hbf;38 km;15kVac;Gabarit continental;;
Biblis;Frankfurt am Main Hbf;55 km;15kVac;Gabarit continental;;
Mannheim-Neckarstadt;Frankfurt am Main Hbf;77 km;15kVac;Gabarit continental;;
Mannheim Hbf;Frankfurt am Main Hbf;80 km;15kVac;Gabarit continental;Westliche Einführung der Riedbahn;
